10_0014 我又怎么会喜欢你啰
25_0012 我最开心的事就是买了人生中的第一台车
20_0071 那好吃就是广告不好吃就是网暴啦
23_0051 我真的好羡慕你的
19_0046 别傻啰我站在边上的好不没点素质
02_0042 就是喊浮漂啊我平常钓鱼的时候也是喊浮漂啊
04_0050 到后面这个老房子改造就伸了一个管子到家里来了就换了类似以前的ic卡那种
25_0032 一个是我的岳父的去世还有我的外婆的去世因为我小时候是由我外婆带大的
17_0011 没一个人肯帮我嘞
20_0017 首先呢我要说我自己活该
14_0001 礼轻情意重哎呦你的心意噻我们都领了领了
02_0031 他读书呢就是要走很远的路来
23_0042 你这个话也讲的太难听了不
20_0002 我像谁你自己未必不清楚吗
20_0006 那不说别人我自己打牌也是演技派
20_0061 这月亮不睡我不睡我12点就睡着了
23_0053 外婆欧丽讲她不舒服让我陪一下她
21_0019 但是现在这个社会就变味了晓得不
04_0017 我说走我们回去还从她家门口走一圈看看我到底要看看她会不会拿铲子打我两下不
03_0026 我们今天先不管这个畜生他到底为啥会要这样做出于一个什么样的原因我们不管
21_0012 你要是对我有意见你就直接跟我说嘛直接打电话跟我说
20_0045 我前面那个姐姐我听到她下午在那里扫厕所我天我长这么大我没扫过厕所我4000块钱实习期的工资要我去刷厕所
12_0018 唉呀她连不动心嘞
03_0076 呀哎你们真正走进过我们老百姓的心里听过我们的心声没有啰
20_0012 你们在街上碰到我也不一定能认得出我哦我视频跟我本人差距还是有点大
20_0073 这个老板讲我粉丝太少了我发不发都无所谓
02_0011 听她说她对长沙的印象没想到这么好
27_0022 他这个政策一下来我们才有现在的这种生活和现在的成就
11_0023 你就收下啰
11_0028 我都是我的错
20_0076 今天要说的这个事情是一个姐妹她投稿给我自己的一个真实的一个相亲故事
26_0038 请问你们这里可以找工作吧
20_0078 这样子去评价一个人的相貌是不对的
19_0017 别人都有眼睛好不我眼睛还这么大真的是别碰我哈呸
08_0018 谈恋爱啊啧我现在哪有心情去谈恋爱啰
26_0039 找工作可以啊你这个样子你是大学生吧怎么没去读书啰
03_0032 你真的保证不了今天这个抓方向盘的这个人他今天从这里经过的时候他是一个正常的状态
25_0056 嗯还有什么最开心的事吗嗯没有什么最开心的事情只有开心的事情
07_0038 哎你可以跟她讲笑话噻
19_0020 我今天心情不是很美丽啊都别来刺激我
20_0020 这心里承受能力差的千万不要去打牌
14_0006 可能是她怕一讲太贵了我们就不收了
12_0027 有问题好好谈
01_0016 老婆我爱你
11_0010 哦另外一半是因为我妈妈她病了晓得不
09_0001 反正在我心里你就是一个真真正正标标准准的少妇杀手
07_0020 那不就带回去啰
27_0046 今天乐别来找我录这个视频我还觉得很开心真的有蛮有趣搞这个事情
01_0009 那就一定要严谨啊
22_0009 这一点我觉得要不得
02_0012 我要做网红天天搞直播赚钱钱
03_0034 但是说句实话我们真的控制不了
19_0007 等我11号出去玩了回来之后我就要正经找工作了天天在家里也不是个事
11_0005 这一阵子都没看见人晓得他搞什么名堂啰
07_0019 好嘞哈哈你跟我姐姐都有了新生活这也不错啦是不是啰
27_0034 我想起游俊过年可以发几万块钱奖金可以还钱给我我就很开心
03_0047 这自己背痒的时候旁边有个人帮你伸进去扣一下背那个感觉有多舒服不用我说吧大家都知道
22_0016 那个妹子打屁好臭的嘞
20_0019 你们这嘴巴跟开了光一样的嘞
26_0015 啊你跟个大肚婆一样的一天到晚坐在家里你坐月子哦
24_0002 走噻到南门口啊收你50块钱要的吧
03_0104 这我生了下来干什么我生下来吃预制菜啊
14_0017 没谁得病嘞就是我们每个月都买点补品给爸爸妈妈补一下身体
22_0023 这时候的年轻人都不愿意生崽嘞
25_0037 他下午请半天假他老婆好像今天生日他就回去了
16_0019 这个心巧不知道搞什么鬼名堂一会说来一会说不来
14_0013 那个我爸妈为你精心准备了一道大餐
20_0041 嗯总有这些猛子虫
16_0003 哦我是怕我说实话你受不了噻
20_0010 今天跑到前公司去跟我的姐妹们吃了一餐饭
03_0068 搞到最后怎么办呢最后还是有到无
04_0012 走一个奶奶家经过就看到一个奶奶笑嘻嘻的对我说话
25_0017 然后当时是答应了但是后面一直没去啰结果他就突然一下子就去世了这是我最难过的
03_0102 我们是小朋友的时候你就不允许我们有兄弟姊妹
01_0026 哎那要好些
19_0028 没事我就要吃爱情的苦
09_0003 你就要你的表妹和我的子贵两个人和好算了啰
07_0015 是没听说过有租车的租房的头一次听说有租女朋友的
01_0003 谢谢大家
11_0034 我想好好的经营我们两个的婚姻生活
27_0012 就能够存活下来
11_0006 谈恋爱啊
23_0052 嗯美丽姨好久回啊
09_0019 还有一个事情要请你跟他帮忙
06_0040 那些开眼看世界的人他不懂得世界上的一些好的东西可能他会觉得他会活的很开心
24_0022 说今天周末一起出来玩一下子
07_0011 脚没好又怎么办呢
21_0018 像我爸那时候就规定我每天晚上八点以前要到家
26_0047 你这是准备去哪里啰
04_0054 那我们当时想起来哎还是可以啊又为老百姓做了事情又给我们提供了方便那肯定可以不
06_0022 也包括了他们的教育的成果给我带来的一些对我人生的帮助和对我个人的提升
04_0020 怎么了老了就可以没素质啊想讨哪个的闲就讨哪个的闲啊
11_0022 为了能够找回芳芳我不要脸到底
27_0030 她外婆带的蛮好的但是嘞又有点想她不开心很久没看到她了
03_0057 搞这个事情或者这个行当我觉得赚钱只要合理合法就行
